携帯制御ボックス番号62(Oxy),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,Mark,Time,PreScan,HbOffset,,,,,,,,,,,,,,,,,,
1,0,0,0,0,0,0,0.25506958,0.28125495,0.37841129,0.22664976,0.21752043,0.3094767,0.30415127,0.25678626,0.23564194,0.28668478,0,0,0,0,0,0,0,46:37.0,0,0,,,,,,,,,,,,,,,,,,
2,0,0,0,0,0,0,0.28673935,0.22208197,0.4226405,0.13225177,0.16541393,0.23093398,0.11925328,0.19420306,0.12685478,0.29759979,0,0,0,0,0,0,0,46:37.0,0,0,,,,,,,,,,,,,,,,,,
3,0,0,0,0,0,0,0.40993896,0.27598736,0.63879603,0.04023923,0.21635045,0.36342776,0.1178534,0.38802961,0.20769225,0.7576021,0,0,0,0,0,0,0,46:37.0,0,0,,,,,,,,,,,,,,,,,,
1876,0,0,0,0,0,0,1.05836928,0.2887044,1.09039986,0.58381414,0.54456401,1.18579996,0.61915612,1.13143086,0.81103396,1.46923661,0,0,0,0,0,0,0,52:52.0,0,0,,,,,,,,,,,,,,,,,,
1877,0,0,0,0,0,0,1.02114868,0.25526956,1.01767421,0.50002903,0.49130306,1.08350289,0.4576079,1.07338226,0.67468536,1.43327153,0,0,0,0,0,0,0,52:52.0,0,0,,,,,,,,,,,,,,,,,,
1878,0,0,0,0,0,0,1.06040215,0.28888425,1.10788202,0.53482658,0.52296919,1.19810474,0.56472111,1.16716826,0.7874338,1.53971696,0,0,0,0,0,0,0,52:52.0,0,0,,,,,,,,,,,,,,,,,,
1879,0,0,0,0,0,0,1.05159223,0.27598777,1.05545926,0.5121634,0.49742478,1.12534761,0.50060409,1.141137,0.7232042,1.55235708,0,0,0,0,0,0,0,52:53.0,0,0,,,,,,,,,,,,,,,,,,
1880,0,0,0,0,0,0,0.99137932,0.24923989,0.96439284,0.46535468,0.46916211,1.043015,0.40703711,1.08294547,0.63212216,1.50521111,0,0,0,0,0,0,0,52:53.0,0,0,,,,,,,,,,,,,,,,,,
1881,0,0,0,0,0,0,0.99091643,0.2853227,1.01960933,0.47038388,0.49615169,1.13071764,0.50457358,1.13913774,0.74349612,1.60312331,0,0,0,0,0,0,0,52:53.0,0,0,,,,,,,,,,,,,,,,,,
1882,0,0,0,0,0,0,0.99557453,0.28485182,0.97321796,0.46943316,0.48965558,1.07882607,0.44395047,1.1236068,0.67639995,1.57621419,0,0,0,0,0,0,0,52:53.0,0,0,,,,,,,,,,,,,,,,,,
1883,0,0,0,0,0,0,0.9627924,0.26314276,0.91669434,0.4324227,0.46555254,1.01156557,0.38591182,1.12131858,0.60681659,1.55703604,0,0,0,0,0,0,0,52:53.0,0,0,,,,,,,,,,,,,,,,,,
1884,0,0,0,0,0,0,0.92467749,0.24681354,0.91251123,0.41247046,0.47327119,1.02948046,0.42385969,1.12989068,0.67960775,1.59085655,0,0,0,0,0,0,0,52:54.0,0,0,,,,,,,,,,,,,,,,,,
1885,0,0,0,0,0,0,0.97479737,0.2984947,0.94750887,0.45378551,0.49357682,1.07506549,0.4448474,1.11870968,0.67091137,1.56434941,0,0,0,0,0,0,0,52:54.0,0,0,,,,,,,,,,,,,,,,,,
1886,0,0,0,0,0,0,0.95015705,0.27008611,0.89393455,0.42161825,0.46735719,1.01342642,0.39733291,1.13013887,0.62383407,1.51959348,0,0,0,0,0,0,0,52:54.0,0,0,,,,,,,,,,,,,,,,,,
1887,0,0,0,0,0,0,0.90643764,0.21816309,0.83056796,0.36276114,0.43525061,0.93664116,0.35762775,1.12441039,0.60886139,1.52058697,0,0,0,0,0,0,0,52:54.0,0,0,,,,,,,,,,,,,,,,,,
1888,0,0,0,0,0,0,0.97914279,0.27981165,0.95620728,0.4390851,0.49567094,1.07100868,0.48252442,1.17078459,0.69637549,1.5702368,0,0,0,0,0,0,0,52:54.0,0,0,,,,,,,,,,,,,,,,,,
1889,0,0,0,0,0,0,0.96594828,0.25745696,0.92675453,0.42026293,0.47473708,1.0291115,0.44085491,1.16437328,0.64260936,1.53794801,0,0,0,0,0,0,0,52:55.0,0,0,,,,,,,,,,,,,,,,,,
1890,0,0,0,0,0,0,1.01060927,0.2335518,0.91683006,0.42427766,0.43389505,0.92636985,0.42355081,1.10885262,0.60320902,1.64910042,0,0,0,0,0,0,0,52:55.0,0,0,,,,,,,,,,,,,,,,,,
1891,0,0,0,0,0,0,0.97851002,0.39176232,1.01094413,0.38904849,0.61379492,1.22718382,0.48697329,1.43418467,0.76475203,1.988343,0,0,0,0,0,0,0,52:55.0,0,0,,,,,,,,,,,,,,,,,,
1892,0,0,0,0,0,0,0.64795095,0.13732143,0.7528429,0.56832182,0.42927909,0.87301302,0.66451246,0.70765805,0.71472859,0.79577363,0,0,0,0,0,0,0,52:55.0,0,0,,,,,,,,,,,,,,,,,,
1893,0,0,0,0,0,0,0.80146676,0.41198432,0.89043629,0.37844437,0.57154125,1.18742037,0.40685979,1.27857614,0.63573527,1.65727603,0,0,0,0,0,0,0,52:55.0,0,0,,,,,,,,,,,,,,,,,,
1894,0,0,0,0,0,0,0.83294964,0.42796499,1.04775977,0.46531767,0.63047916,1.33231854,0.55805045,1.38715696,0.79586983,1.84932494,0,0,0,0,0,0,0,52:56.0,0,0,,,,,,,,,,,,,,,,,,
1895,0,0,0,0,0,0,1.00564647,0.32292435,1.15955663,0.65743005,0.56608063,1.12225771,0.66197979,1.19722736,0.77942914,1.5982101,0,0,0,0,0,0,0,52:56.0,0,0,,,,,,,,,,,,,,,,,,
1896,0,0,0,0,0,0,1.00319016,0.36190993,1.12971401,0.56311309,0.53527403,1.04622638,0.56561434,1.07317173,0.70518523,1.24130952,0,0,0,0,0,0,0,52:56.0,0,0,,,,,,,,,,,,,,,,,,
1897,0,0,0,0,0,0,0.88797992,0.46582946,1.02419519,0.48188952,0.60272312,1.27755964,0.5790714,1.15901887,0.80315036,1.40132046,0,0,0,0,0,0,0,52:56.0,0,0,,,,,,,,,,,,,,,,,,
1898,0,0,0,0,0,0,1.01629126,0.48853129,1.15247893,0.57198727,0.64902246,1.33288848,0.58686292,1.40086401,0.79236376,1.790205,0,0,0,0,0,0,0,52:56.0,0,0,,,,,,,,,,,,,,,,,,
1899,0,0,0,0,0,0,1.04388118,0.4109441,1.14324129,0.5670166,0.59673786,1.18347108,0.57922572,1.26438463,0.73334175,1.65763688,0,0,0,0,0,0,0,52:57.0,0,0,,,,,,,,,,,,,,,,,,
1900,0,0,0,0,0,0,1.03419793,0.38189077,1.12168193,0.62597662,0.56995487,1.14486396,0.68898588,1.2651577,0.8177669,1.61899829,0,0,0,0,0,0,0,52:57.0,0,0,,,,,,,,,,,,,,,,,,
1901,0,0,0,0,0,0,1.05631888,0.44406539,1.17675495,0.71389455,0.59716696,1.22524595,0.71724808,1.22301865,0.80650359,1.55240703,0,0,0,0,0,0,0,52:57.0,0,0,,,,,,,,,,,,,,,,,,
1902,0,0,0,0,0,0,0.95823497,0.42625719,1.17104709,0.6724782,0.59103936,1.27343273,0.60567689,1.26821399,0.75831938,1.75729334,0,0,0,0,0,0,0,52:57.0,0,0,,,,,,,,,,,,,,,,,,
1903,0,0,0,0,0,0,0.80277056,0.62711394,0.99496406,0.50332916,0.66499841,1.28496027,0.50920182,1.28668237,0.79135174,1.79605651,0,0,0,0,0,0,0,52:57.0,0,0,,,,,,,,,,,,,,,,,,
1904,0,0,0,0,0,0,0.9899357,0.46543857,1.24238217,0.70154577,0.60912389,1.25464094,0.73957181,1.21828496,0.8660388,1.71884811,0,0,0,0,0,0,0,52:58.0,0,0,,,,,,,,,,,,,,,,,,
